time,Actual Movement,close,Predictions,Predicted
2022-07-28,1,1.01987,0.5074842,1
2022-07-29,1,1.02264,0.5074426,1
2022-08-01,-1,1.02584,0.5073494,1
2022-08-02,1,1.0167,0.50716865,1
2022-08-03,1,1.01688,0.5071023,1
2022-08-04,-1,1.02454,0.50685585,1
2022-08-05,1,1.0178,0.50662214,1
2022-08-08,1,1.01957,0.5066551,1
2022-08-09,1,1.0213,0.50672394,1
2022-08-10,1,1.02972,0.5067756,1
2022-08-11,-1,1.03243,0.5068341,1
2022-08-12,-1,1.02567,0.5069304,1
2022-08-15,1,1.01585,0.50710106,1
2022-08-16,1,1.01701,0.50697964,1
2022-08-17,-1,1.01778,0.50689244,1
2022-08-18,-1,1.00882,0.5069489,1
2022-08-19,-1,1.00394,0.50712895,1
2022-08-22,1,0.99411,0.5073702,1
2022-08-23,1,0.99681,0.5075562,1
2022-08-24,1,0.99688,0.5075384,1
2022-08-25,-1,0.99724,0.5077216,1
2022-08-26,1,0.99651,0.50774866,1
2022-08-29,1,0.99974,0.5077105,1
2022-08-30,1,1.00155,0.5075842,1
2022-08-31,-1,1.00525,0.5076349,1
2022-09-01,1,0.99476,0.50784606,1
2022-09-02,-1,0.99574,0.50814503,1
2022-09-05,-1,0.99287,0.50818443,1
2022-09-06,1,0.99039,0.5083305,1
2022-09-07,1,0.99886,0.5085621,1
2022-09-08,1,0.99989,0.50859964,1
2022-09-09,1,1.00462,0.5086399,1
2022-09-12,-1,1.01236,0.5085056,1
2022-09-13,1,0.99682,0.50829744,1
2022-09-14,1,0.99783,0.5082169,1
2022-09-15,1,0.99947,0.508007,1
2022-09-16,1,1.00133,0.50789106,1
2022-09-19,-1,1.00241,0.50790435,1
2022-09-20,-1,0.99685,0.50799876,1
2022-09-21,-1,0.98397,0.5082488,1
2022-09-22,-1,0.98333,0.50835097,1
2022-09-23,-1,0.96889,0.5083582,1
2022-09-26,-1,0.96074,0.50848085,1
2022-09-27,1,0.95914,0.50835854,1
2022-09-28,1,0.97345,0.5082915,1
2022-09-29,-1,0.98078,0.50810975,1
2022-09-30,1,0.97997,0.5081375,1
2022-10-03,1,0.98241,0.50847274,1
2022-10-04,-1,0.9986,0.50849456,1
2022-10-05,-1,0.9892,0.508358,1
2022-10-06,-1,0.97912,0.50842446,1
2022-10-07,-1,0.97381,0.50844884,1
2022-10-10,-1,0.97058,0.5085376,1
2022-10-11,1,0.97031,0.50866497,1
2022-10-12,1,0.97033,0.5086953,1
2022-10-13,-1,0.97769,0.5087794,1
2022-10-14,1,0.97237,0.508679,1
2022-10-17,1,0.98444,0.5086147,1
2022-10-18,-1,0.98585,0.50819063,1
2022-10-19,1,0.97725,0.508023,1
2022-10-20,1,0.97869,0.5080195,1
2022-10-21,1,0.98629,0.5078808,1
2022-10-24,1,0.98752,0.5076868,1
2022-10-25,1,0.99675,0.50789297,1
2022-10-26,-1,1.00833,0.50808203,1
2022-10-27,1,0.99636,0.50805336,1
2022-10-28,-1,0.9966,0.5079848,1
2022-10-31,-1,0.98828,0.50773466,1
2022-11-01,-1,0.98744,0.5076552,1
2022-11-02,-1,0.98132,0.5074854,1
2022-11-03,1,0.97485,0.50760275,1
2022-11-04,1,0.99593,0.5076719,1
2022-11-07,1,1.00205,0.5075494,1
2022-11-08,-1,1.00726,0.50775236,1
2022-11-09,1,1.00133,0.5077371,1
2022-11-10,1,1.02052,0.5075793,1
2022-11-11,-1,1.03537,0.50735414,1
2022-11-14,1,1.03302,0.50726485,1
2022-11-15,1,1.03481,0.5072805,1
2022-11-16,-1,1.03917,0.5073263,1
2022-11-17,-1,1.03663,0.5073073,1
2022-11-18,-1,1.03197,0.5073953,1
2022-11-21,1,1.02389,0.5073636,1
2022-11-22,1,1.03021,0.5073221,1
2022-11-23,1,1.03939,0.50716686,1
2022-11-24,-1,1.04121,0.5068361,1
2022-11-25,-1,1.0385,0.5068796,1
2022-11-28,-1,1.03408,0.50694126,1
2022-11-29,1,1.03282,0.50681794,1
2022-11-30,1,1.04054,0.50656873,1
