,time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
777,2024-03-06 09:00:00,0.6508,0.65091,0.65058,0.65068,2131,9,0,0.65116,0.65058,False,True,False,True,0.0,4.0,5.0,1.0,False,True,False,0.65077,0.65091,True,False,True,False,False,False
778,2024-03-06 10:00:00,0.65068,0.65124,0.65039,0.6509,2600,9,0,0.65124,0.65039,True,False,False,True,1.0,3.0,4.0,2.0,False,True,False,0.65077,0.65091,True,True,True,True,True,True
779,2024-03-06 11:00:00,0.6509,0.65162,0.65082,0.65118,2212,9,0,0.65162,0.65039,True,False,True,False,2.0,3.0,3.0,2.0,False,False,True,0.65082,0.65091,True,True,False,True,False,False
780,2024-03-06 12:00:00,0.6512,0.65159,0.65103,0.65155,2051,9,0,0.65162,0.65039,False,True,True,False,2.0,3.0,3.0,2.0,False,False,True,0.65103,0.65159,True,True,False,False,False,False
781,2024-03-06 13:00:00,0.65155,0.65189,0.65145,0.65171,2170,9,0,0.65189,0.65039,True,False,True,False,3.0,3.0,2.0,2.0,True,False,False,0.65145,0.65159,True,True,False,True,False,False
782,2024-03-06 14:00:00,0.65171,0.65193,0.65112,0.65126,1847,9,0,0.65193,0.65039,True,False,True,False,4.0,4.0,1.0,1.0,True,False,False,0.65112,0.65159,True,True,False,True,False,True
783,2024-03-06 15:00:00,0.65126,0.65157,0.65074,0.6513,3514,9,0,0.65193,0.65074,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,0.65074,0.65157,False,True,False,False,False,False
784,2024-03-06 16:00:00,0.65131,0.65233,0.65029,0.65215,3320,9,0,0.65233,0.65029,True,False,False,True,3.0,4.0,2.0,1.0,True,False,False,0.65074,0.65157,True,True,True,True,True,True
785,2024-03-06 17:00:00,0.65214,0.6531,0.65177,0.65251,3921,9,0,0.6531,0.65029,True,False,True,False,4.0,4.0,1.0,1.0,True,False,False,0.65177,0.65157,True,True,False,True,False,False
786,2024-03-06 18:00:00,0.65249,0.65306,0.65199,0.6522,2824,9,0,0.6531,0.65029,False,True,True,False,3.0,4.0,2.0,1.0,True,False,False,0.65199,0.65306,True,True,False,False,False,False
787,2024-03-06 19:00:00,0.6522,0.65301,0.65174,0.65295,2620,9,0,0.6531,0.65029,False,True,True,False,2.0,4.0,3.0,1.0,True,False,False,0.65174,0.65301,True,True,False,False,False,False
788,2024-03-06 20:00:00,0.65295,0.65302,0.65232,0.65243,2686,9,0,0.6531,0.65029,False,True,True,False,2.0,4.0,3.0,1.0,True,False,False,0.65232,0.65302,True,True,False,False,False,False
789,2024-03-06 21:00:00,0.65243,0.65287,0.65234,0.65266,2635,10,0,0.6531,0.65174,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,0.65234,0.65287,False,True,False,False,False,False
790,2024-03-06 22:00:00,0.65266,0.65278,0.65239,0.65243,2492,10,0,0.65306,0.65174,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.65239,0.65278,False,False,False,False,False,False
791,2024-03-06 23:00:00,0.65243,0.65269,0.65242,0.65265,938,10,0,0.65302,0.65174,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.65242,0.65269,False,False,False,False,False,False
792,2024-03-07 00:00:00,0.65198,0.65274,0.65181,0.65263,1209,13,0,0.65302,0.65181,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.65181,0.65274,False,False,False,False,False,False
793,2024-03-07 01:00:00,0.65263,0.65284,0.65244,0.65275,800,12,0,0.65287,0.65181,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.65244,0.65284,False,False,False,False,False,False
794,2024-03-07 02:00:00,0.65275,0.65277,0.6524,0.6525,1802,9,0,0.65284,0.65181,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.6524,0.65277,False,False,False,False,False,False
