,current_price,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
1408,1.24502,2024-04-17 15:00:00,hold,short,,,,12299.961799999923,-4.4831999999995915,19.89680000000003
1409,1.24604,2024-04-17 16:00:00,hold,short,,,,12299.961799999923,-6.603399999999713,19.70660000000012
1410,1.245,2024-04-17 17:00:00,hold,short,,,,12299.961799999923,-8.14359999999981,19.776400000000134
1411,1.24413,2024-04-17 18:00:00,hold,short,,,,12299.961799999923,-9.573799999999851,20.656200000000126
1412,1.24284,2024-04-17 19:00:00,hold,short,,,,12299.961799999923,-9.12399999999979,23.056000000000083
1413,1.2445,2024-04-17 20:00:00,hold,short,,,,12299.961799999923,-9.0241999999998,25.205799999999957
1414,1.24516,2024-04-17 21:00:00,hold,short,,,,12299.961799999923,-10.764399999999874,25.575599999999937
1415,1.24523,2024-04-17 22:00:00,hold,short,,,,12299.961799999923,-11.414599999999913,25.82540000000002
1416,1.24545,2024-04-17 23:00:00,hold,short,,,,12299.961799999923,-12.164799999999941,25.455200000000037
1417,1.24525,2024-04-18 00:00:00,hold,short,,,,12299.961799999923,-0.9701999999999154,-0.25020000000008347
1418,1.24555,2024-04-18 01:00:00,hold,short,,,,12299.961799999923,-1.8203999999999327,-0.7204000000000539
1419,1.24529,2024-04-18 02:00:00,hold,short,,,,12299.961799999923,-2.870599999999928,-1.1505999999999843
1420,1.24526,2024-04-18 03:00:00,hold,short,,,,12299.961799999923,-3.4407999999998875,-1.0707999999999043
1421,1.24557,2024-04-18 04:00:00,hold,short,,,,12299.961799999923,-4.540999999999988,-1.1809999999999587
1422,1.2467,2024-04-18 05:00:00,hold,short,,,,12299.961799999923,-6.721200000000058,-1.9412000000000527
1423,1.24694,2024-04-18 06:00:00,hold,short,,,,12299.961799999923,-8.931400000000103,-3.4814000000001495
1424,1.24701,2024-04-18 07:00:00,hold,short,,,,12299.961799999923,-11.271600000000111,-5.441600000000111
1425,1.24719,2024-04-18 08:00:00,hold,short,,,,12299.961799999923,-13.911800000000087,-7.291800000000018
1426,1.24715,2024-04-18 09:00:00,hold,short,,,,12299.961799999923,-17.572000000000084,-9.451999999999957
1427,1.24723,2024-04-18 10:00:00,hold,short,,,,12299.961799999923,-20.642199999999992,-10.8822
1428,1.2474,2024-04-18 11:00:00,hold,short,,,,12299.961799999923,-23.832400000000018,-12.862400000000092
1429,1.24723,2024-04-18 12:00:00,hold,short,,,,12299.961799999923,-26.572599999999984,-14.742599999999973
1430,1.24774,2024-04-18 13:00:00,hold,short,,,,12299.961799999923,-29.792799999999986,-16.662799999999894
1431,1.24714,2024-04-18 14:00:00,hold,short,,,,12299.961799999923,-33.212999999999965,-18.422999999999877
1432,1.24584,2024-04-18 15:00:00,hold,short,,,,12299.961799999923,-35.8131999999999,-18.32319999999989
1433,1.24482,2024-04-18 16:00:00,hold,short,,,,12299.961799999923,-37.83339999999981,-17.143399999999932
1434,1.24433,2024-04-18 17:00:00,hold,short,,,,12299.961799999923,-38.793599999999884,-16.613600000000012
1435,1.24627,2024-04-18 18:00:00,hold,short,,,,12299.961799999923,-40.673799999999765,-16.163799999999952
1436,1.24482,2024-04-18 19:00:00,hold,short,,,,12299.961799999923,-42.48399999999985,-16.104000000000003
1437,1.24419,2024-04-18 20:00:00,hold,short,,,,12299.961799999923,-42.694199999999896,-14.644199999999985
1438,1.2436,2024-04-18 21:00:00,hold,short,,,,12299.961799999923,-42.13439999999978,-13.214399999999943
1439,1.24374,2024-04-18 22:00:00,hold,short,,,,12299.961799999923,-41.634599999999836,-11.984599999999878
1440,1.24352,2024-04-18 23:00:00,hold,short,,,,12299.961799999923,-40.72479999999987,-10.66479999999989
1441,1.24365,2024-04-19 00:00:00,hold,short,,,,12299.961799999923,0.8298000000001085,1.3797999999999369
1442,1.24331,2024-04-19 01:00:00,hold,short,,,,12299.961799999923,1.7496000000001404,2.909599999999968
1443,1.24343,2024-04-19 02:00:00,hold,short,,,,12299.961799999923,2.8194000000000448,4.529399999999923
1444,1.2427,2024-04-19 03:00:00,hold,short,,,,12299.961799999923,3.98920000000016,6.719199999999837
1445,1.24009,2024-04-19 04:00:00,hold,short,,,,12299.961799999923,5.8290000000002244,11.768999999999835
1446,1.23956,2024-04-19 05:00:00,hold,short,,,,12299.961799999923,10.378800000000279,17.68879999999976
1447,1.24169,2024-04-19 06:00:00,hold,short,,,,12299.961799999923,12.98860000000028,23.178599999999754
1448,1.24192,2024-04-19 07:00:00,hold,short,,,,12299.961799999923,15.178400000000195,26.26839999999979
1449,1.24111,2024-04-19 08:00:00,hold,short,,,,12299.961799999923,17.57820000000015,30.068199999999816
1450,1.24304,2024-04-19 09:00:00,hold,short,,,,12299.961799999923,18.99800000000013,34.55799999999992
1451,1.24491,2024-04-19 10:00:00,hold,short,,,,12299.961799999923,18.63780000000021,36.277799999999864
1452,1.24402,2024-04-19 11:00:00,hold,short,,,,12299.961799999923,18.497600000000183,37.667599999999865
1453,1.24524,2024-04-19 12:00:00,hold,short,,,,12299.961799999923,17.707400000000113,38.51739999999988
1454,1.24354,2024-04-19 13:00:00,hold,short,,,,12299.961799999923,17.24720000000021,39.827199999999806
1455,1.244,2024-04-19 14:00:00,hold,short,,,,12299.961799999923,17.907000000000092,41.696999999999846
1456,1.24486,2024-04-19 15:00:00,hold,short,,,,12299.961799999923,16.366799999999994,42.746799999999844
1457,1.2457,2024-04-19 16:00:00,hold,short,,,,12299.961799999923,14.346600000000084,43.26659999999992
1458,1.2434,2024-04-19 17:00:00,hold,short,,,,12299.961799999923,12.396400000000188,44.86639999999996
1459,1.23968,2024-04-19 18:00:00,hold,short,,,,12299.961799999923,13.406200000000144,50.06620000000006
1460,1.23896,2024-04-19 19:00:00,hold,short,,,,12299.961799999923,18.04600000000012,57.61600000000001
1461,1.2375099999999999,2024-04-19 20:00:00,hold,short,,,,12299.961799999923,23.485800000000232,65.13579999999997
1462,1.23685,2024-04-19 21:00:00,hold,short,,,,12299.961799999923,30.26560000000024,73.27560000000001
1463,1.23716,2024-04-19 22:00:00,hold,short,,,,12299.961799999923,37.53540000000035,81.38540000000008
1464,1.2370700000000001,2024-04-19 23:00:00,hold,short,,,,12299.961799999923,44.95520000000033,89.36519999999994
1465,1.23653,2024-04-22 00:00:00,hold,short,,,,12299.961799999923,7.149799999999989,8.339800000000015
1466,1.2371699999999999,2024-04-22 01:00:00,hold,short,,,,12299.961799999923,14.289599999999913,16.589600000000104
1467,1.23752,2024-04-22 02:00:00,hold,short,,,,12299.961799999923,21.24939999999999,24.219400000000128
1468,1.23723,2024-04-22 03:00:00,hold,short,,,,12299.961799999923,27.579199999999936,31.809200000000114
1469,1.2388,2024-04-22 04:00:00,hold,short,,,,12299.961799999923,33.37899999999996,39.36900000000013
1470,1.23834,2024-04-22 05:00:00,hold,short,,,,12299.961799999923,38.968799999999945,45.82880000000004
1471,1.23814,2024-04-22 06:00:00,hold,short,,,,12299.961799999923,45.298599999999894,52.8386
1472,1.23859,2024-04-22 07:00:00,hold,short,,,,12299.961799999923,51.09839999999992,59.52840000000008
1473,1.23834,2024-04-22 08:00:00,hold,short,,,,12299.961799999923,57.238199999999956,66.30820000000008
1474,1.23785,2024-04-22 09:00:00,hold,short,,,,12299.961799999923,63.31800000000004,73.61800000000001
1475,1.2368000000000001,2024-04-22 10:00:00,hold,short,,,,12299.961799999923,69.63780000000014,83.34780000000002
1476,1.23655,2024-04-22 11:00:00,hold,short,,,,12299.961799999923,77.21760000000006,92.37760000000011
1477,,2024-04-22 12:00:00,close,neutral,,,100.0,12399.961599999922,85.31740000000006,102.91740000000011
1478,1.23101,2024-04-22 16:00:00,open,short,1.23101,,,12399.961399999922,85.31740000000006,102.91740000000011
1479,,2024-04-22 17:00:00,close,neutral,,,100.0,12499.961199999922,82.87720000000006,103.00720000000004
1480,1.23307,2024-04-22 17:00:00,open,short,1.23307,,,12499.960999999921,82.87720000000006,103.00720000000004
1481,,2024-04-22 18:00:00,close,neutral,,,100.0,12599.96079999992,81.93700000000011,103.54700000000025
1482,1.23545,2024-04-22 20:00:00,open,short,1.23545,,,12599.96059999992,81.93700000000011,103.54700000000025
1483,,2024-04-22 21:00:00,close,neutral,,,100.0,12699.96039999992,81.22680000000013,103.79680000000012
1484,1.2359499999999999,2024-04-22 21:00:00,open,short,1.2359499999999999,,,12699.96019999992,81.22680000000013,103.79680000000012
1485,,2024-04-22 22:00:00,close,neutral,,,100.0,12799.95999999992,81.21660000000006,104.73660000000005
1486,1.23525,2024-04-22 22:00:00,open,short,1.23525,,,12799.959799999919,81.21660000000006,104.73660000000005
1487,,2024-04-22 23:00:00,close,neutral,,,100.0,12899.959599999918,81.0864000000001,105.0863999999999
1488,1.23518,2024-04-22 23:00:00,open,short,1.23518,,,12899.959399999918,81.0864000000001,105.0863999999999
1489,1.2349700000000001,2024-04-23 00:00:00,hold,short,,,,12899.959399999918,0.01979999999990898,0.5197999999998539
1490,1.23507,2024-04-23 01:00:00,hold,short,,,,12899.959399999918,-0.0004000000002220422,0.7595999999998719
1491,1.23494,2024-04-23 02:00:00,hold,short,,,,12899.959399999918,0.009399999999621425,1.2493999999997514
1492,1.23542,2024-04-23 03:00:00,hold,short,,,,12899.959399999918,-0.36080000000036,1.4891999999997694
1493,1.23483,2024-04-23 04:00:00,hold,short,,,,12899.959399999918,-1.0110000000003994,1.9489999999996743
1494,1.23544,2024-04-23 05:00:00,hold,short,,,,12899.959399999918,-1.5112000000003443,2.3887999999996703
1495,1.23526,2024-04-23 06:00:00,hold,short,,,,12899.959399999918,-1.8814000000003257,2.6785999999995718
1496,1.23513,2024-04-23 07:00:00,hold,short,,,,12899.959399999918,-2.1816000000002926,2.9183999999995898
1497,1.23438,2024-04-23 08:00:00,hold,short,,,,12899.959399999918,-2.1218000000003436,4.008199999999626
1498,1.23433,2024-04-23 09:00:00,hold,short,,,,12899.959399999918,-1.6120000000003332,6.067999999999577
